Wk;Day;Date;Time;Home;Away;Corners predictions;Reliability of the forecast
36;Sat;11/05/2024;18:00;Napoli;Bologna;1;24.96
36;Sun;12/05/2024;15:00;Hellas Verona;Torino;2;24.96
36;Sun;12/05/2024;18:00;Juventus;Salernitana;1;24.89
36;Mon;13/05/2024;20:45;Fiorentina;Monza;1;24.89
36;Sun;12/05/2024;12:30;Lazio;Empoli;1;24.16
36;Sat;11/05/2024;20:45;Milan;Cagliari;1;24.03
36;Fri;10/05/2024;20:45;Frosinone;Inter;2;23.58
36;Sun;12/05/2024;20:45;Atalanta;Roma;1;23.51
36;Mon;13/05/2024;18:30;Lecce;Udinese;1;22.86
36;Sun;12/05/2024;15:00;Genoa;Sassuolo;2;17.25
29;Sun;17/03/2024;18:00;Atalanta;Fiorentina;2;10.83
